MOUSE Move {X=485,Y=557} 02/07/2018 14:35:20 16
MOUSE Move {X=485,Y=553} 02/07/2018 14:35:20 24
MOUSE Move {X=486,Y=548} 02/07/2018 14:35:20 32
MOUSE Move {X=486,Y=544} 02/07/2018 14:35:20 41
MOUSE Move {X=487,Y=538} 02/07/2018 14:35:20 48
MOUSE Move {X=487,Y=534} 02/07/2018 14:35:20 57
MOUSE Move {X=487,Y=530} 02/07/2018 14:35:20 65
MOUSE Move {X=487,Y=526} 02/07/2018 14:35:20 73
MOUSE Move {X=488,Y=521} 02/07/2018 14:35:20 81
MOUSE Move {X=488,Y=518} 02/07/2018 14:35:20 89
MOUSE Move {X=488,Y=516} 02/07/2018 14:35:20 97
MOUSE Move {X=488,Y=515} 02/07/2018 14:35:20 104
MOUSE Move {X=488,Y=514} 02/07/2018 14:35:20 112
MOUSE Move {X=488,Y=514} 02/07/2018 14:35:20 120
MOUSE Move {X=488,Y=513} 02/07/2018 14:35:20 128
MOUSE Move {X=488,Y=512} 02/07/2018 14:35:20 136
MOUSE click {X=488,Y=512} 02/07/2018 14:35:20 289
MOUSE Move {X=488,Y=512} 02/07/2018 14:35:20 289
MOUSE release {X=488,Y=512} 02/07/2018 14:35:20 408
MOUSE Move {X=488,Y=512} 02/07/2018 14:35:20 409
MOUSE Move {X=488,Y=512} 02/07/2018 14:35:20 881
MOUSE Move {X=488,Y=512} 02/07/2018 14:35:20 889
MOUSE Move {X=487,Y=512} 02/07/2018 14:35:20 897
MOUSE Move {X=487,Y=512} 02/07/2018 14:35:21 337
MOUSE Move {X=488,Y=512} 02/07/2018 14:35:21 352
MOUSE Move {X=488,Y=512} 02/07/2018 14:35:21 440
MOUSE Move {X=489,Y=512} 02/07/2018 14:35:21 448
MOUSE Move {X=489,Y=512} 02/07/2018 14:35:21 456
MOUSE Move {X=491,Y=512} 02/07/2018 14:35:21 464
MOUSE Move {X=495,Y=514} 02/07/2018 14:35:21 472
MOUSE Move {X=505,Y=517} 02/07/2018 14:35:21 481
MOUSE Move {X=517,Y=521} 02/07/2018 14:35:21 488
MOUSE Move {X=538,Y=529} 02/07/2018 14:35:21 497
MOUSE Move {X=564,Y=538} 02/07/2018 14:35:21 505
MOUSE Move {X=606,Y=556} 02/07/2018 14:35:21 513
MOUSE Move {X=643,Y=571} 02/07/2018 14:35:21 521
MOUSE Move {X=694,Y=593} 02/07/2018 14:35:21 529
MOUSE Move {X=734,Y=610} 02/07/2018 14:35:21 537
MOUSE Move {X=788,Y=631} 02/07/2018 14:35:21 544
MOUSE Move {X=836,Y=649} 02/07/2018 14:35:21 552
MOUSE Move {X=881,Y=666} 02/07/2018 14:35:21 561
MOUSE Move {X=929,Y=686} 02/07/2018 14:35:21 574
MOUSE Move {X=977,Y=704} 02/07/2018 14:35:21 576
MOUSE Move {X=1022,Y=724} 02/07/2018 14:35:21 584
MOUSE Move {X=1065,Y=744} 02/07/2018 14:35:21 592
MOUSE Move {X=1108,Y=763} 02/07/2018 14:35:21 600
MOUSE Move {X=1143,Y=782} 02/07/2018 14:35:21 608
MOUSE Move {X=1173,Y=797} 02/07/2018 14:35:21 616
MOUSE Move {X=1194,Y=806} 02/07/2018 14:35:21 624
MOUSE Move {X=1214,Y=813} 02/07/2018 14:35:21 632
MOUSE Move {X=1226,Y=818} 02/07/2018 14:35:21 640
MOUSE Move {X=1238,Y=823} 02/07/2018 14:35:21 648
MOUSE Move {X=1248,Y=827} 02/07/2018 14:35:21 656
MOUSE Move {X=1255,Y=831} 02/07/2018 14:35:21 664
MOUSE Move {X=1262,Y=834} 02/07/2018 14:35:21 672
MOUSE Move {X=1269,Y=839} 02/07/2018 14:35:21 680
MOUSE Move {X=1275,Y=843} 02/07/2018 14:35:21 688
MOUSE Move {X=1283,Y=847} 02/07/2018 14:35:21 696
MOUSE Move {X=1291,Y=851} 02/07/2018 14:35:21 704
MOUSE Move {X=1300,Y=856} 02/07/2018 14:35:21 712
MOUSE Move {X=1308,Y=859} 02/07/2018 14:35:21 720
MOUSE Move {X=1315,Y=862} 02/07/2018 14:35:21 728
MOUSE Move {X=1322,Y=863} 02/07/2018 14:35:21 736
MOUSE Move {X=1328,Y=865} 02/07/2018 14:35:21 744
MOUSE Move {X=1334,Y=865} 02/07/2018 14:35:21 753
MOUSE Move {X=1340,Y=866} 02/07/2018 14:35:21 761
MOUSE Move {X=1344,Y=866} 02/07/2018 14:35:21 769
MOUSE Move {X=1350,Y=867} 02/07/2018 14:35:21 777
MOUSE Move {X=1355,Y=868} 02/07/2018 14:35:21 784
MOUSE Move {X=1360,Y=868} 02/07/2018 14:35:21 792
MOUSE Move {X=1365,Y=868} 02/07/2018 14:35:21 800
MOUSE Move {X=1369,Y=868} 02/07/2018 14:35:21 808
MOUSE Move {X=1375,Y=869} 02/07/2018 14:35:21 816
MOUSE Move {X=1380,Y=870} 02/07/2018 14:35:21 824
MOUSE Move {X=1384,Y=870} 02/07/2018 14:35:21 832
MOUSE Move {X=1387,Y=870} 02/07/2018 14:35:21 841
MOUSE Move {X=1390,Y=871} 02/07/2018 14:35:21 849
MOUSE Move {X=1395,Y=873} 02/07/2018 14:35:21 857
MOUSE Move {X=1398,Y=875} 02/07/2018 14:35:21 864
MOUSE Move {X=1401,Y=876} 02/07/2018 14:35:21 872
MOUSE Move {X=1406,Y=876} 02/07/2018 14:35:21 880
MOUSE Move {X=1408,Y=877} 02/07/2018 14:35:21 888
MOUSE Move {X=1410,Y=877} 02/07/2018 14:35:21 896
MOUSE Move {X=1412,Y=877} 02/07/2018 14:35:21 905
MOUSE Move {X=1412,Y=877} 02/07/2018 14:35:21 913
MOUSE Move {X=1413,Y=877} 02/07/2018 14:35:21 928
MOUSE click {X=1413,Y=877} 02/07/2018 14:35:22 56
MOUSE Move {X=1413,Y=877} 02/07/2018 14:35:22 57
MOUSE Move {X=1413,Y=877} 02/07/2018 14:35:22 136
MOUSE release {X=1413,Y=877} 02/07/2018 14:35:22 152
MOUSE Move {X=1413,Y=877} 02/07/2018 14:35:22 153
