Timestamp;Participant;Aid;Phase;BlockID;Event
16/07/2018 12:54:30 488;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 521;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 554;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 587;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 620;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 653;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 686;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 720;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 752;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 785;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 818;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 851;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 884;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 917;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 950;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:30 983;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 16;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 49;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 82;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 115;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 148;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 181;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 214;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 247;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 280;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 313;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 346;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 379;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 413;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 445;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 478;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 511;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 544;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 577;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 610;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 643;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 676;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 709;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 742;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 775;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN LControlKey
16/07/2018 12:54:31 776;Leon;ExposeKeyboard;2;1;KEYPRESS DOWN B
16/07/2018 12:54:31 778;Leon;ExposeKeyboard;2;1;COMMAND btnBold HOTKEY B SelText:Apple iPhone 5 buzz builds as focus shifts MOUSE 
16/07/2018 12:54:31 928;Leon;ExposeKeyboard;2;1;KEYPRESS UP B
16/07/2018 12:54:32 218;Leon;ExposeKeyboard;2;1;Focus Gained
16/07/2018 12:54:32 219;Leon;ExposeKeyboard;2;1;KEYPRESS UP LControlKey
16/07/2018 12:54:32 580;Leon;ExposeKeyboard;2;1;MOUSE Move {X=221,Y=286}
16/07/2018 12:54:32 588;Leon;ExposeKeyboard;2;1;MOUSE Move {X=221,Y=286}
16/07/2018 12:54:32 596;Leon;ExposeKeyboard;2;1;MOUSE Move {X=221,Y=286}
16/07/2018 12:54:32 604;Leon;ExposeKeyboard;2;1;MOUSE Move {X=224,Y=287}
16/07/2018 12:54:32 637;Leon;ExposeKeyboard;2;1;MOUSE Move {X=229,Y=289}
16/07/2018 12:54:32 638;Leon;ExposeKeyboard;2;1;MOUSE Move {X=243,Y=295}
16/07/2018 12:54:32 670;Leon;ExposeKeyboard;2;1;MOUSE Move {X=249,Y=297}
16/07/2018 12:54:32 703;Leon;ExposeKeyboard;2;1;MOUSE Move {X=270,Y=306}
16/07/2018 12:54:32 704;Leon;ExposeKeyboard;2;1;MOUSE Move {X=296,Y=317}
16/07/2018 12:54:32 708;Leon;ExposeKeyboard;2;1;MOUSE Move {X=302,Y=319}
16/07/2018 12:54:32 716;Leon;ExposeKeyboard;2;1;MOUSE Move {X=308,Y=322}
16/07/2018 12:54:32 723;Leon;ExposeKeyboard;2;1;MOUSE Move {X=313,Y=324}
16/07/2018 12:54:32 732;Leon;ExposeKeyboard;2;1;MOUSE Move {X=316,Y=326}
16/07/2018 12:54:32 740;Leon;ExposeKeyboard;2;1;MOUSE Move {X=321,Y=328}
16/07/2018 12:54:32 748;Leon;ExposeKeyboard;2;1;MOUSE Move {X=323,Y=330}
16/07/2018 12:54:32 756;Leon;ExposeKeyboard;2;1;MOUSE Move {X=325,Y=331}
16/07/2018 12:54:32 764;Leon;ExposeKeyboard;2;1;MOUSE Move {X=328,Y=332}
16/07/2018 12:54:32 772;Leon;ExposeKeyboard;2;1;MOUSE Move {X=328,Y=332}
16/07/2018 12:54:32 780;Leon;ExposeKeyboard;2;1;MOUSE Move {X=329,Y=333}
16/07/2018 12:54:32 788;Leon;ExposeKeyboard;2;1;MOUSE Move {X=329,Y=334}
16/07/2018 12:54:32 796;Leon;ExposeKeyboard;2;1;MOUSE Move {X=330,Y=334}
16/07/2018 12:54:32 804;Leon;ExposeKeyboard;2;1;MOUSE Move {X=330,Y=335}
16/07/2018 12:54:32 812;Leon;ExposeKeyboard;2;1;MOUSE Move {X=330,Y=335}
16/07/2018 12:54:32 820;Leon;ExposeKeyboard;2;1;MOUSE Move {X=330,Y=336}
16/07/2018 12:54:32 828;Leon;ExposeKeyboard;2;1;MOUSE Move {X=330,Y=337}
16/07/2018 12:54:32 836;Leon;ExposeKeyboard;2;1;MOUSE Move {X=330,Y=337}
16/07/2018 12:54:32 844;Leon;ExposeKeyboard;2;1;MOUSE Move {X=331,Y=338}
16/07/2018 12:54:32 852;Leon;ExposeKeyboard;2;1;MOUSE Move {X=332,Y=339}
16/07/2018 12:54:32 860;Leon;ExposeKeyboard;2;1;MOUSE Move {X=332,Y=340}
16/07/2018 12:54:32 868;Leon;ExposeKeyboard;2;1;MOUSE Move {X=333,Y=341}
16/07/2018 12:54:32 876;Leon;ExposeKeyboard;2;1;MOUSE Move {X=334,Y=343}
16/07/2018 12:54:32 884;Leon;ExposeKeyboard;2;1;MOUSE Move {X=336,Y=344}
16/07/2018 12:54:32 892;Leon;ExposeKeyboard;2;1;MOUSE Move {X=337,Y=346}
16/07/2018 12:54:32 900;Leon;ExposeKeyboard;2;1;MOUSE Move {X=339,Y=347}
16/07/2018 12:54:32 908;Leon;ExposeKeyboard;2;1;MOUSE Move {X=341,Y=349}
16/07/2018 12:54:32 916;Leon;ExposeKeyboard;2;1;MOUSE Move {X=342,Y=349}
16/07/2018 12:54:32 925;Leon;ExposeKeyboard;2;1;MOUSE Move {X=345,Y=349}
16/07/2018 12:54:32 932;Leon;ExposeKeyboard;2;1;MOUSE Move {X=345,Y=350}
16/07/2018 12:54:32 940;Leon;ExposeKeyboard;2;1;MOUSE Move {X=346,Y=351}
16/07/2018 12:54:32 948;Leon;ExposeKeyboard;2;1;MOUSE Move {X=346,Y=351}
16/07/2018 12:54:32 972;Leon;ExposeKeyboard;2;1;MOUSE Move {X=346,Y=351}
16/07/2018 12:54:32 996;Leon;ExposeKeyboard;2;1;MOUSE Move {X=347,Y=351}
16/07/2018 12:54:33 4;Leon;ExposeKeyboard;2;1;MOUSE Move {X=347,Y=352}
16/07/2018 12:54:33 20;Leon;ExposeKeyboard;2;1;MOUSE Move {X=347,Y=352}
16/07/2018 12:54:33 28;Leon;ExposeKeyboard;2;1;MOUSE Move {X=347,Y=352}
16/07/2018 12:54:33 172;Leon;ExposeKeyboard;2;1;MOUSE Move {X=348,Y=352}
16/07/2018 12:54:33 188;Leon;ExposeKeyboard;2;1;MOUSE Move {X=348,Y=352}
16/07/2018 12:54:33 196;Leon;ExposeKeyboard;2;1;MOUSE Move {X=348,Y=352}
16/07/2018 12:54:33 204;Leon;ExposeKeyboard;2;1;MOUSE Move {X=349,Y=352}
16/07/2018 12:54:33 212;Leon;ExposeKeyboard;2;1;MOUSE Move {X=349,Y=352}
16/07/2018 12:54:33 228;Leon;ExposeKeyboard;2;1;MOUSE Move {X=349,Y=351}
16/07/2018 12:54:33 372;Leon;ExposeKeyboard;2;1;MOUSE Move {X=349,Y=351}
16/07/2018 12:54:33 380;Leon;ExposeKeyboard;2;1;MOUSE Move {X=348,Y=351}
16/07/2018 12:54:33 388;Leon;ExposeKeyboard;2;1;MOUSE Move {X=348,Y=351}
16/07/2018 12:54:33 396;Leon;ExposeKeyboard;2;1;MOUSE Move {X=347,Y=351}
16/07/2018 12:54:33 404;Leon;ExposeKeyboard;2;1;MOUSE Move {X=347,Y=351}
