MOUSE Move {X=716,Y=169} 06/06/2018 17:51:16 33
MOUSE Move {X=713,Y=165} 06/06/2018 17:51:16 45
MOUSE Move {X=712,Y=164} 06/06/2018 17:51:16 58
MOUSE Move {X=712,Y=163} 06/06/2018 17:51:16 71
MOUSE Move {X=712,Y=163} 06/06/2018 17:51:16 97
MOUSE Move {X=711,Y=162} 06/06/2018 17:51:16 109
MOUSE Move {X=711,Y=162} 06/06/2018 17:51:16 289
MOUSE Move {X=712,Y=163} 06/06/2018 17:51:16 303
MOUSE Move {X=714,Y=166} 06/06/2018 17:51:16 320
MOUSE Move {X=720,Y=173} 06/06/2018 17:51:16 331
MOUSE Move {X=724,Y=183} 06/06/2018 17:51:16 347
MOUSE Move {X=726,Y=191} 06/06/2018 17:51:16 360
MOUSE Move {X=728,Y=198} 06/06/2018 17:51:16 375
MOUSE Move {X=731,Y=205} 06/06/2018 17:51:16 388
MOUSE Move {X=734,Y=210} 06/06/2018 17:51:16 399
MOUSE Move {X=735,Y=211} 06/06/2018 17:51:16 410
MOUSE Move {X=735,Y=211} 06/06/2018 17:51:16 421
MOUSE Move {X=735,Y=212} 06/06/2018 17:51:16 432
MOUSE Move {X=736,Y=212} 06/06/2018 17:51:16 455
MOUSE Move {X=737,Y=212} 06/06/2018 17:51:16 468
MOUSE Move {X=738,Y=213} 06/06/2018 17:51:16 480
MOUSE Move {X=738,Y=213} 06/06/2018 17:51:16 506
MOUSE Move {X=739,Y=213} 06/06/2018 17:51:16 519
MOUSE Move {X=739,Y=213} 06/06/2018 17:51:16 534
MOUSE Move {X=738,Y=211} 06/06/2018 17:51:16 545
MOUSE Move {X=736,Y=207} 06/06/2018 17:51:16 557
MOUSE Move {X=730,Y=197} 06/06/2018 17:51:16 570
MOUSE Move {X=725,Y=185} 06/06/2018 17:51:16 583
MOUSE Move {X=719,Y=176} 06/06/2018 17:51:16 596
MOUSE Move {X=716,Y=169} 06/06/2018 17:51:16 609
MOUSE Move {X=713,Y=162} 06/06/2018 17:51:16 622
MOUSE Move {X=710,Y=156} 06/06/2018 17:51:16 634
MOUSE Move {X=708,Y=150} 06/06/2018 17:51:16 648
MOUSE Move {X=708,Y=147} 06/06/2018 17:51:16 661
MOUSE Move {X=708,Y=146} 06/06/2018 17:51:16 673
MOUSE Move {X=707,Y=145} 06/06/2018 17:51:16 687
MOUSE Move {X=707,Y=144} 06/06/2018 17:51:16 699
MOUSE Move {X=707,Y=144} 06/06/2018 17:51:16 712
MOUSE Move {X=707,Y=143} 06/06/2018 17:51:16 725
MOUSE Move {X=706,Y=143} 06/06/2018 17:51:17 62
MOUSE Move {X=706,Y=143} 06/06/2018 17:51:17 74
MOUSE Move {X=707,Y=143} 06/06/2018 17:51:17 100
MOUSE click {X=707,Y=143} 06/06/2018 17:51:17 111
MOUSE Move {X=707,Y=143} 06/06/2018 17:51:17 112
MOUSE Move {X=711,Y=143} 06/06/2018 17:51:17 265
MOUSE Move {X=714,Y=143} 06/06/2018 17:51:17 279
MOUSE Move {X=719,Y=143} 06/06/2018 17:51:17 292
MOUSE Move {X=727,Y=143} 06/06/2018 17:51:17 304
MOUSE Move {X=736,Y=147} 06/06/2018 17:51:17 318
MOUSE Move {X=746,Y=152} 06/06/2018 17:51:17 330
MOUSE Move {X=753,Y=154} 06/06/2018 17:51:17 344
MOUSE Move {X=758,Y=155} 06/06/2018 17:51:17 365
MOUSE Move {X=767,Y=158} 06/06/2018 17:51:17 377
MOUSE Move {X=772,Y=158} 06/06/2018 17:51:17 392
MOUSE Move {X=775,Y=158} 06/06/2018 17:51:17 404
MOUSE Move {X=778,Y=158} 06/06/2018 17:51:17 417
MOUSE Move {X=779,Y=158} 06/06/2018 17:51:17 430
MOUSE Move {X=779,Y=158} 06/06/2018 17:51:17 440
MOUSE Move {X=781,Y=158} 06/06/2018 17:51:17 448
MOUSE Move {X=782,Y=158} 06/06/2018 17:51:17 458
MOUSE Move {X=783,Y=158} 06/06/2018 17:51:17 495
MOUSE Move {X=783,Y=158} 06/06/2018 17:51:17 509
MOUSE Move {X=783,Y=158} 06/06/2018 17:51:17 780
MOUSE Move {X=783,Y=158} 06/06/2018 17:51:17 792
MOUSE Move {X=782,Y=158} 06/06/2018 17:51:17 806
MOUSE release {X=782,Y=158} 06/06/2018 17:51:17 819
MOUSE Move {X=782,Y=158} 06/06/2018 17:51:17 820
MOUSE Move {X=782,Y=158} 06/06/2018 17:51:17 987
MOUSE Move {X=779,Y=158} 06/06/2018 17:51:17 999
MOUSE Move {X=772,Y=158} 06/06/2018 17:51:18 11
MOUSE Move {X=755,Y=159} 06/06/2018 17:51:18 25
MOUSE Move {X=718,Y=168} 06/06/2018 17:51:18 37
MOUSE Move {X=666,Y=184} 06/06/2018 17:51:18 50
MOUSE Move {X=598,Y=212} 06/06/2018 17:51:18 63
MOUSE Move {X=548,Y=234} 06/06/2018 17:51:18 75
MOUSE Move {X=495,Y=265} 06/06/2018 17:51:18 88
MOUSE Move {X=411,Y=317} 06/06/2018 17:51:18 102
MOUSE Move {X=336,Y=365} 06/06/2018 17:51:18 114
MOUSE Move {X=278,Y=410} 06/06/2018 17:51:18 127
MOUSE Move {X=244,Y=442} 06/06/2018 17:51:18 140
MOUSE Move {X=227,Y=462} 06/06/2018 17:51:18 153
MOUSE Move {X=221,Y=472} 06/06/2018 17:51:18 166
MOUSE Move {X=220,Y=475} 06/06/2018 17:51:18 178
MOUSE Move {X=225,Y=475} 06/06/2018 17:51:18 191
MOUSE Move {X=234,Y=475} 06/06/2018 17:51:18 205
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 217
Focus Lost 06/06/2018 17:51:18 388
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 401
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 417
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 423
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 436
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 450
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 463
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 478
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 490
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 502
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 515
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 527
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 540
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 554
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 565
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 578
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 590
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 604
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 616
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 628
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 642
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 654
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 667
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 681
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 695
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 710
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 722
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 735
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 748
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 761
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 775
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 788
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 801
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 814
MOUSE Move {X=236,Y=475} 06/06/2018 17:51:18 827
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:18 865
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:18 876
MOUSE click {X=237,Y=475} 06/06/2018 17:51:18 910
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:18 911
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:18 937
MOUSE Move {X=238,Y=475} 06/06/2018 17:51:18 949
MOUSE release {X=238,Y=475} 06/06/2018 17:51:19 1
MOUSE Move {X=238,Y=475} 06/06/2018 17:51:19 1
MOUSE Move {X=238,Y=475} 06/06/2018 17:51:19 13
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 26
Focus Gained 06/06/2018 17:51:19 362
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 366
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 399
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 402
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 434
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 445
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 455
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 466
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 477
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 490
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 502
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 543
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 631
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 669
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 681
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 733
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 746
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 758
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 772
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 784
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 796
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 811
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 823
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 835
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 849
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 861
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 874
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 888
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 900
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 912
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 926
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 939
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 951
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 965
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 977
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:19 990
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 3
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 16
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 28
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 42
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 55
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 67
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 81
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 93
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 106
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 119
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 132
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 286
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 298
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 312
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 324
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 336
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 350
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 363
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 375
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 389
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 402
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 414
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 428
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 441
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 453
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 467
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 480
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 492
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 505
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 518
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 531
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 542
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 555
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 568
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 581
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 595
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 607
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 620
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 632
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 645
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 658
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 671
MOUSE Move {X=237,Y=475} 06/06/2018 17:51:20 685
MOUSE Move {X=237,Y=474} 06/06/2018 17:51:20 707
MOUSE Move {X=236,Y=468} 06/06/2018 17:51:20 721
MOUSE Move {X=235,Y=457} 06/06/2018 17:51:20 734
MOUSE Move {X=235,Y=444} 06/06/2018 17:51:20 746
MOUSE Move {X=235,Y=426} 06/06/2018 17:51:20 760
MOUSE Move {X=235,Y=399} 06/06/2018 17:51:20 781
MOUSE Move {X=235,Y=363} 06/06/2018 17:51:20 785
MOUSE Move {X=236,Y=317} 06/06/2018 17:51:20 799
MOUSE Move {X=236,Y=274} 06/06/2018 17:51:20 812
MOUSE Move {X=236,Y=228} 06/06/2018 17:51:20 824
MOUSE Move {X=235,Y=181} 06/06/2018 17:51:20 837
MOUSE Move {X=233,Y=137} 06/06/2018 17:51:20 850
MOUSE Move {X=233,Y=94} 06/06/2018 17:51:20 862
MOUSE Move {X=233,Y=53} 06/06/2018 17:51:20 875
MOUSE Move {X=232,Y=28} 06/06/2018 17:51:20 888
MOUSE Move {X=230,Y=11} 06/06/2018 17:51:20 901
